,Unnamed: 0,Name,Id,transf_Name,Text,Classes,Co_auth
0,0,Cyril Lahuec,17541,cyrillahuec,Assessing the techno-economic impact of low-temperature subnets in conventional district heating networks,0,
1,1,Alexandre Dolgui,30378,alexandredolgui,Reversals of a large-scale field generated over a turbulent background,5,65726
2,2,Sophie Bretesch‚,53912,sophiebretesche,Automatically Summarizing all the Problems of a Rule-Based SystemCoqTL: A Coq DSL for Rule-Based Model TransformationNeoEMF: A Multi-database Model Persistence Framework for Very Large ModelsReactive Model Transformation with ATLSlicing ATL Model Transformations for Scalable Deductive Verification and Fault LocalizationDistributing Relational Model Transformation on MapReduceSource-Code Level Regression Test Selection: the Model-Driven Way,0,
3,3,Thibault de Swarte,55086,thibaultdeswarte,Assessing the feasibility of using the heat demand-outdoor temperature function for a long-term district heat demand forecast,0,
4,4,Romain Billot,59488,romainbillot,Atomic Read/Write Memory in Signature-Free Byzantine Asynchronous Message-Passing Systems,5,
5,5,Yannis Haralambous,62300,yannisharalambous,Modeling hydrogen diffusion in hybrid activated carbon-MIL-101(Cr) considering temperature variations and surface loading changesHydrogen adsorption and kinetics in MIL-101(Cr) and hybrid activated carbon-MIL-101(Cr) materials,0,"896137,896137"
6,6,Philippe Lenca,65458,philippelenca,High sensitivity optical biosensor based on polymer materials and using the Vernier effectPorous silicon micro-resonator implemented by standard photolithography process for sensing application,0,738665
7,7,Sorin Moga,65726,sorinmoga,Reversals of a large-scale field generated over a turbulent background,0,30378
8,8,John Puentes,66545,johnpuentes,Microstructured electrodes supported on serpentine interconnects for stretchable electronics,0,465196
9,9,Alexandre Khaldi,67724,alexandrekhaldi,Near-Field diffraction of spin waves,0,
10,10,Emmanuel Daniel,68093,emmanueldaniel,Thermal control of the magnon-photon coupling in a notch filter coupled to a yttrium iron garnet/platinum system,0,450445
11,11,Camilla K„rnfelt,69294,camillakarnfelt,A Novel Approach for Generic Home Emergency Management and Remote Monitoring,0,1466156
12,12,Fabrice Seguin,70535,fabriceseguin,Coarse-to-Fine Registration of Airborne LiDAR Data and Optical Imagery on Urban ScenesSuper-Resolution-based Snake Model -- An Unsupervised Method for Large-Scale Building Extraction using Airborne LiDAR Data and Optical ImageMid-Infrared chemical sensing using a chalcogenide integrated transducer,0,1159813
13,13,Vincent Nourrit,71657,vincentnourrit,Learning Variational Data Assimilation Models and SolversData-driven Interpolation of Sea Level Anomalies using Analog Data AssimilationSpatio-Temporal Interpolation of Cloudy SST Fields Using Conditional Analog Data Assimilation,0,1466322
14,14,Isabel Amigo,74943,isabelamigo,Isolation in Cloud Computing Infrastructures: New Security ChallengesPutting the Next 500 VM Placement Algorithms to the Acid Test,0,100362
15,15,Loutfi Nuaymi,76131,loutfinuaymi,Preface: Special Issue on Homotopy Type Theory and Univalent FoundationsThe Fire TriangleModel structure on the universe of all types in interval type theoryThe Marriage of Univalence and ParametricityChemical foundations of distributed aspects,0,687957
16,16,Patrick Maill‚,76764,patrickmaille,Visual analytics for exploring topic long-term evolution and detecting weak signals in company targeted tweets,0,
